Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-06 00:00:00-05:00,125.83854260951247,129.11948978538052,124.5182784009118,124.73503875732422,155088000,0.0,0.0
2021-01-11 00:00:00-05:00,127.2868767439028,128.2524359437131,126.60703887678841,127.07996368408203,100384500,0.0,0.0
2021-01-21 00:00:00-05:00,131.82897691423827,137.61250033083385,131.62206383798429,134.85374450683594,120150900,0.0,0.0
2021-01-26 00:00:00-05:00,141.48459180186813,142.17427688734932,139.28743176911107,141.0510711669922,98390600,0.0,0.0
2021-02-05 00:00:00-05:00,135.52892036349888,135.5979844234928,134.05867044103428,134.9467315673828,75693800,0.205,0.0
2021-02-10 00:00:00-05:00,134.67042335373893,135.1736709592589,132.6180000248,133.59487915039062,73046600,0.0,0.0
2021-02-25 00:00:00-05:00,123.0268881418393,124.78328620229131,118.94178034130283,119.38581085205078,148199500,0.0,0.0
2021-03-02 00:00:00-05:00,126.70743113689898,127.01331847579728,123.35250981519845,123.46105194091797,102260900,0.0,0.0
2021-03-12 00:00:00-05:00,118.80362591880238,119.56341322762508,117.5800691041812,119.4252700805664,88105100,0.0,0.0
2021-03-17 00:00:00-04:00,122.40523443615638,124.191233388499,120.71790055829277,123.10581970214844,111932600,0.0,0.0
2021-03-22 00:00:00-04:00,118.73456465650396,122.22762923884231,118.66549307697626,121.75399017333984,111912300,0.0,0.0
2021-04-01 00:00:00-04:00,122.02041629680842,122.53351839110624,120.8659234102224,121.3691635131836,75089100,0.0,0.0
2021-04-06 00:00:00-04:00,124.82275403916326,125.44439824634698,123.98402557695867,124.5365982055664,80171300,0.0,0.0
2021-04-16 00:00:00-04:00,132.51935350052966,132.88444294664936,131.51287320505114,132.38121032714844,84922400,0.0,0.0
2021-04-21 00:00:00-04:00,130.60505045906638,131.97661996334233,129.55910731923385,131.7299346923828,68847100,0.0,0.0
2021-04-26 00:00:00-04:00,133.04230371944888,133.26924995561203,131.78913831229073,132.9337615966797,66905100,0.0,0.0
2021-05-06 00:00:00-04:00,126.19432870554076,128.02966789965612,125.44440330203697,128.01980590820312,78128300,0.22,0.0
2021-05-11 00:00:00-04:00,122.06952528697938,124.80743763730848,121.3479774065034,124.45161437988281,126142800,0.0,0.0
2021-05-21 00:00:00-04:00,126.33948164160832,126.51739703282671,123.75971223945388,123.97716522216797,79295400,0.0,0.0
2021-05-26 00:00:00-04:00,125.48943327066314,125.91445292245771,124.9556871353148,125.38070678710938,56575900,0.0,0.0
2021-06-10 00:00:00-04:00,125.54874002611787,126.70519379471303,124.48125526121926,124.64928436279297,71186400,0.0,0.0
2021-06-15 00:00:00-04:00,128.43495596292132,129.08731504931282,127.89132339092842,128.138427734375,62746300,0.0,0.0
2021-06-25 00:00:00-04:00,131.91417411962402,132.33918630192355,131.27169385156944,131.56822204589844,70783700,0.0,0.0
2021-06-30 00:00:00-04:00,134.59276867295497,135.81841143376016,134.29624049575457,135.37362670898438,63261400,0.0,0.0
2021-07-15 00:00:00-04:00,147.51139965312865,148.26259135311284,145.38629346117028,146.76019287109375,106820300,0.0,0.0
2021-07-20 00:00:00-04:00,141.79832398677016,145.39616163217383,141.30411543612652,144.4571533203125,96350000,0.0,0.0
2021-07-30 00:00:00-04:00,142.70766390143208,144.63507420540344,142.4407870648675,144.17051696777344,70440600,0.0,0.0
2021-08-04 00:00:00-04:00,145.56419500820158,146.07816105690367,144.58565661962714,145.24789428710938,56368300,0.22,0.0
2021-08-09 00:00:00-04:00,144.72310143299947,145.21805049063943,144.04997796483943,144.6142120361328,48908700,0.0,0.0
2021-08-19 00:00:00-04:00,143.56490499791997,146.50490325126628,143.04026026897282,145.21803283691406,86960300,0.0,0.0
2021-08-24 00:00:00-04:00,147.94027015852026,149.3360301247731,147.64329770330636,148.10855102539062,48606400,0.0,0.0
2021-09-03 00:00:00-04:00,152.20673377301355,153.0679554327876,151.5435038265236,152.7412872314453,57808700,0.0,0.0
2021-09-08 00:00:00-04:00,155.3941953846993,155.4535868523797,152.42450116351188,153.5430908203125,74420200,0.0,0.0
2021-09-13 00:00:00-04:00,149.10835260306607,149.89036544011262,147.2473393794392,148.0392608642578,102404300,0.0,0.0
2021-09-23 00:00:00-04:00,145.16853596907023,145.59419996439723,144.16874442460096,145.3467254638672,64838200,0.0,0.0
2021-09-28 00:00:00-04:00,141.8028848314673,143.28773179305335,140.25864640816093,140.47642517089844,108972300,0.0,0.0
2021-10-08 00:00:00-04:00,142.57499511414275,142.7234737591449,141.11984397454796,141.45640563964844,58773200,0.0,0.0
